Geographic Area Name,Estimate!!Percent below poverty level!!Population for whom poverty status is determined,Geographic Area Name_x,Area_Type,Tract_x,Plurality Race,Tract_y, !!Total:!!Population of one race:!!White alone_PROPORTION, !!Total:!!Population of one race:!!Black or African American alone_PROPORTION, !!Total:!!Population of one race:!!American Indian and Alaska Native alone_PROPORTION, !!Total:!!Population of one race:!!Asian alone_PROPORTION, !!Total:!!Population of one race:!!Native Hawaiian and Other Pacific Islander alone_PROPORTION, !!Total:!!Population of one race:!!Some Other Race alone_PROPORTION,FIPS Code 2020,California Census tracts,Number of people in state prison from each Census tract 2020,"Census population, 2020","Total population, 2020","Imprisonment rate per 100,000",Geographic Area Name_y,Estimate!!Total!!Population 16 years and over,Estimate!!Unemployment rate!!Population 16 years and over,Estimate!!Total!!Population 16 years and over!!AGE!!16 to 19 years,Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years,Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Less than high school graduate,Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!High school graduate (includes equivalency),Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Some college or associate's degree,Estimate!!Total!!EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Bachelor's degree or higher
4047.0,1.6,4047.0,Urban,4047.0,White,4047.0,0.6453077699293642,0.07669021190716448,0.0015136226034308778,0.10040363269424823,0.004036326942482341,0.026236125126135216,6001404700,4047.0,1,"1,982","1,983",50,4047.0,1758,4.6,38,1213,21,91,123,978
4048.0,4.4,4048.0,Urban,4048.0,White,4048.0,0.47188973521944144,0.13565469713456657,0.00797968806673921,0.15379035183170112,0.006166122597025753,0.07979688066739209,6001404800,4048.0,5,"2,757","2,762",181,4048.0,2213,6.0,152,1418,79,97,270,972
4049.0,3.0,4049.0,Urban,4049.0,White,4049.0,0.5390309555854643,0.11036339165545088,0.006953790937640198,0.17048003589053387,0.0033647375504710633,0.03947958725886048,6001404900,4049.0,5,"4,458","4,463",112,4049.0,3560,1.9,95,2543,59,104,604,1776
4050.0,3.5,4050.0,Urban,4050.0,White,4050.0,0.631753697555086,0.06912164201629943,0.0027165710836100213,0.12858436462420766,0.00030184123151222455,0.031995170540295804,6001405000,4050.0,4,"3,313","3,317",121,4050.0,2875,6.3,155,2007,7,47,325,1628
4051.0,4.1,4051.0,Urban,4051.0,White,4051.0,0.644052257620903,0.08572083428833371,0.0025212010084804033,0.11276644510657804,0.0011460004584001834,0.021086408434563372,6001405100,4051.0,6,"4,363","4,369",137,4051.0,3394,1.0,161,2322,23,97,257,1945
4052.0,6.1,4052.0,Urban,4052.0,White,4052.0,0.41599504029758216,0.12109940070262451,0.010126059103120479,0.2605910312047944,0.0018598884066955983,0.046703864434800575,6001405200,4052.0,6,"4,839","4,845",124,4052.0,4393,3.8,84,3368,171,406,547,2244
4053.01,13.5,4053.01,Urban,4053.01,White,4053.01,0.4476763624205951,0.1651621531260448,0.00802407221664995,0.15446339017051153,0.002340354396522902,0.08157806753594116,6001405301,4053.01,2,"2,991","2,993",67,4053.01,2666,3.2,35,2306,143,116,337,1710
4053.02,11.8,4053.02,Urban,4053.02,Asian,4053.02,0.31140507686807295,0.15623882731498034,0.006077940650697175,0.35073292813728996,0.0007150518412584912,0.07651054701465856,6001405302,4053.02,5,"2,797","2,802",178,4053.02,2162,5.5,6,1664,114,127,322,1101
4054.01,13.0,4054.01,Urban,4054.01,Asian,4054.01,0.20180645161290323,0.17109677419354838,0.013935483870967743,0.4012903225806452,0.0025806451612903226,0.13006451612903225,6001405401,4054.01,7,"3,875","3,882",180,4054.01,3210,4.8,13,2667,383,289,682,1313
4054.02,14.1,4054.02,Urban,4054.02,Asian,4054.02,0.15641753390097762,0.1945758435824661,0.017344686218858405,0.3900977609586881,0.001576789656259855,0.13213497319457584,6001405402,4054.02,11,"3,171","3,182",346,4054.02,2858,7.3,134,2280,569,365,689,657
