Plurality Race,Tract Number
White,9.02
White,10.0
White,11.01
White,11.02
White,12.0
White,13.01
White,13.02
White,401.0
White,402.0
White,403.02
White,403.03
White,403.04
White,403.05
Some Other Race,404.0
White,405.0
White,406.0
White,1011.1
White,1011.22
White,1012.2
White,1012.21
White,1012.22
White,1013.0
White,1014.0
White,1021.03
White,1021.04
White,1021.05
White,1021.07
White,1031.01
White,1031.02
White,1032.01
White,1032.02
White,1033.0
White,1034.01
White,1034.02
Some Other Race,1041.03
Some Other Race,1041.05
Some Other Race,1041.08
White,1041.24
Some Other Race,1042.01
Some Other Race,1042.03
Some Other Race,1042.04
Some Other Race,1043.1
Some Other Race,1043.21
Some Other Race,1043.22
Some Other Race,1044.01
Some Other Race,1044.03
Some Other Race,1044.04
Some Other Race,1045.0
Some Other Race,1046.1
Some Other Race,1046.2
Some Other Race,1047.01
Some Other Race,1047.03
Some Other Race,1047.04
Some Other Race,1048.21
Some Other Race,1048.22
Some Other Race,1048.23
Some Other Race,1048.24
Some Other Race,1060.1
Some Other Race,1060.2
Some Other Race,1061.11
Some Other Race,1061.12
Some Other Race,1061.13
Some Other Race,1061.14
Some Other Race,1064.03
Some Other Race,1064.05
Some Other Race,1064.06
Some Other Race,1064.07
Some Other Race,1064.08
Some Other Race,1065.1
Some Other Race,1065.2
White,1066.03
Some Other Race,1066.04
White,1066.41
White,1066.42
White,1066.43
White,1066.45
White,1066.46
Some Other Race,1066.48
Some Other Race,1066.49
Some Other Race,1070.1
Some Other Race,1070.2
White,1081.01
White,1081.02
White,1081.03
White,1081.04
Asian,1082.02
Asian,1082.03
Asian,1082.04
White,1091.0
White,1092.0
White,1093.0
Some Other Race,1094.0
Some Other Race,1095.0
Some Other Race,1096.01
Some Other Race,1096.03
Some Other Race,1096.04
White,1097.0
White,1098.0
White,1111.0
White,1112.01
White,1112.02
White,1112.04
White,1112.05
White,1112.06
White,1113.02
White,1113.03
White,1113.04
White,1114.01
White,1114.02
White,1131.01
White,1131.02
White,1132.11
White,1132.12
White,1132.13
White,1132.31
White,1132.32
Some Other Race,1132.34
White,1132.35
White,1132.37
Some Other Race,1132.38
Some Other Race,1132.39
White,1133.01
White,1133.03
White,1133.22
White,1133.23
White,1133.24
White,1134.23
White,1134.24
Some Other Race,1134.25
Some Other Race,1134.26
Some Other Race,1134.27
White,1134.28
White,1151.01
Some Other Race,1151.03
White,1151.04
White,1152.02
White,1152.03
White,1152.04
White,1153.01
Some Other Race,1153.02
White,1154.01
Some Other Race,1154.03
Some Other Race,1154.04
Asian,1171.01
Some Other Race,1171.02
Some Other Race,1172.01
White,1172.02
White,1173.01
White,1173.02
White,1173.03
White,1174.04
Some Other Race,1174.05
Some Other Race,1174.07
Some Other Race,1174.08
Some Other Race,1175.1
Some Other Race,1175.2
Some Other Race,1175.3
Some Other Race,1190.01
Some Other Race,1190.03
Some Other Race,1190.04
Some Other Race,1192.01
Some Other Race,1192.02
Some Other Race,1193.1
Some Other Race,1193.2
Some Other Race,1193.4
Some Other Race,1193.41
Some Other Race,1193.42
Some Other Race,1194.0
White,1197.0
Some Other Race,1198.01
Some Other Race,1198.02
Some Other Race,1199.0
Some Other Race,1200.1
Some Other Race,1200.2
Some Other Race,1200.3
Some Other Race,1201.03
Some Other Race,1201.04
Some Other Race,1201.05
Some Other Race,1201.06
Some Other Race,1201.07
Some Other Race,1201.08
Some Other Race,1203.0
Some Other Race,1204.0
White,1210.1
White,1210.2
Some Other Race,1211.01
White,1211.02
Some Other Race,1212.1
Some Other Race,1212.21
Some Other Race,1212.22
White,1216.0
Some Other Race,1218.01
Some Other Race,1218.02
Some Other Race,1219.0
White,1220.0
Some Other Race,1221.2
Some Other Race,1221.21
Some Other Race,1221.22
Some Other Race,1222.0
Some Other Race,1224.1
Some Other Race,1224.2
Some Other Race,1230.1
Some Other Race,1230.2
White,1231.03
White,1231.04
Some Other Race,1232.03
Some Other Race,1232.04
Some Other Race,1232.05
Some Other Race,1232.06
White,1233.01
White,1233.03
White,1233.04
White,1234.1
White,1234.2
White,1235.1
White,1235.2
White,1236.01
White,1236.02
White,1237.0
White,1238.0
White,1239.01
White,1239.02
White,1240.0
White,1241.02
Some Other Race,1241.03
Some Other Race,1241.04
White,1241.05
White,1242.01
Some Other Race,1242.03
Some Other Race,1242.04
Some Other Race,1243.0
White,1244.0
White,1245.0
White,1246.0
White,1247.0
White,1249.02
White,1249.03
White,1251.01
White,1251.02
White,1252.0
White,1253.1
White,1253.21
White,1253.22
White,1254.02
White,1254.03
White,1254.04
White,1255.01
White,1255.02
White,1256.0
Some Other Race,1271.02
Some Other Race,1271.03
White,1271.04
Some Other Race,1272.1
Some Other Race,1272.2
White,1273.0
Some Other Race,1274.0
Some Other Race,1275.2
Some Other Race,1276.03
Some Other Race,1276.04
Some Other Race,1276.05
Some Other Race,1276.06
Some Other Race,1277.11
Some Other Race,1277.12
Some Other Race,1278.03
White,1278.04
Some Other Race,1278.05
Some Other Race,1278.06
Some Other Race,1279.1
White,1279.2
White,1281.01
Some Other Race,1281.02
Some Other Race,1282.1
White,1282.2
Some Other Race,1283.02
Some Other Race,1283.03
White,1284.0
White,1285.0
White,1286.01
White,1286.02
White,1287.03
White,1287.04
White,1288.01
White,1288.02
White,1289.1
Some Other Race,1310.21
Some Other Race,1310.22
Some Other Race,1310.23
Some Other Race,1310.24
White,1311.0
White,1312.0
Some Other Race,1313.0
White,1314.0
Some Other Race,1316.0
White,1317.01
Some Other Race,1317.02
Some Other Race,1318.01
White,1318.02
White,1319.0
White,1320.01
White,1320.02
White,1321.01
White,1321.02
Some Other Race,1323.01
Some Other Race,1323.02
White,1325.01
White,1325.02
Some Other Race,1327.0
White,1329.0
White,1330.0
White,1331.01
White,1331.02
Some Other Race,1340.01
Some Other Race,1340.02
White,1341.01
White,1341.03
Asian,1341.04
White,1342.01
White,1343.02
White,1343.03
White,1343.04
Some Other Race,1343.05
