Estimate!!Total!!Population 20 to 64 years!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,Estimate!!Unemployment rate!!Population 16 years and over,Tract Number
88,3.5,12
639,20.9,13
221,2.5,14.01
264,8.7,14.02
495,8.5,15
281,7.9,16.01
616,9.5,17.02
462,13.4,17.03
61,7.1,9800
0,-,9801
0,-,9818
214,6.0,1
305,6.5,3
79,1.0,4.01
243,13.0,4.02
534,4.8,5.01
205,18.4,5.02
212,17.4,6.01
103,3.1,6.02
695,29.8,7.02
280,6.0,7.03
277,21.9,7.04
422,24.0,8.01
728,12.7,8.02
113,10.3,9.01
371,4.8,9.02
676,10.7,10
218,3.7,11.01
124,9.4,11.02
229,7.9,12
87,2.5,13.01
230,13.1,13.02
75,1.4,401
267,4.7,402
158,3.5,403.02
216,6.2,403.03
206,10.8,403.04
